Precinct,KEITH JUDD                            ,MICHAEL STEINBERG                     ,BERNIE SANDERS                        ,WILLIE WILSON                         ,ROQUE DE LA FUENTE                    ,HILLARY CLINTON                       ,HENRY HEWES                           ,WRITE-IN                              ,OVER VOTES                            ,UNDER VOTES                           ,TOTALS
8045418,0,0,80,0,0,89,0,0,0,1,170
8045453,0,1,34,0,1,69,0,0,0,4,109
8045482,0,1,55,0,0,96,0,0,0,3,155
8045511,0,1,24,0,1,32,0,0,0,1,59
8045548,0,0,68,0,0,98,1,0,2,4,173
8045624,0,1,66,1,1,95,1,0,0,1,166
8045670,0,2,105,0,0,144,1,0,0,5,257
8045847,0,1,45,1,1,90,1,0,0,0,139
8045908,0,1,51,1,0,112,0,0,1,5,171
8045956,1,0,73,1,0,120,0,0,0,4,199
8045997,0,2,68,0,1,177,0,0,0,4,252
8046185,1,0,162,1,1,166,0,1,0,4,336
8046220,0,0,124,2,0,104,0,0,0,5,235
8046307,1,2,157,0,0,191,3,0,0,11,365
8046344,0,0,112,0,0,121,0,0,0,4,237
8046477,0,1,129,1,0,156,0,0,1,7,295
8046508,1,1,116,0,0,139,1,0,0,9,267
8046554,0,0,35,0,0,113,0,0,0,7,155
8046618,2,1,79,0,0,121,0,0,0,6,209
8046690,0,1,80,0,0,131,2,0,0,4,218
8046739,0,1,71,1,0,128,0,0,0,2,203
8046828,4,2,88,0,1,123,0,0,1,5,224
8047018,0,2,62,0,0,124,0,0,0,3,191
8047051,2,1,164,0,0,242,0,2,0,10,421
8047116,1,3,146,1,0,229,1,0,1,18,400
8047154,0,1,121,0,0,237,0,1,0,5,365
8047199,1,1,118,0,0,200,2,1,0,7,330
8047226,1,3,119,0,2,288,0,1,0,13,427
8047249,1,1,110,0,0,233,1,0,0,16,362
8047302,0,2,132,0,0,298,0,0,1,9,442
8047348,0,4,158,2,0,278,1,0,0,10,453
8047436,0,2,163,1,1,303,0,0,0,11,481
8047530,0,2,126,0,1,229,0,1,0,6,365
8047541,0,2,140,0,0,202,2,0,0,6,352
8047563,0,3,114,1,0,243,0,1,2,8,372
8047619,0,1,120,0,0,233,0,0,1,12,367
8047712,0,3,125,0,0,283,1,0,0,16,428
8047724,0,0,85,0,0,161,0,0,0,1,247
8047814,0,0,94,0,1,177,0,0,0,8,280
8047833,1,0,122,0,0,202,0,0,0,6,331
8047879,0,1,132,1,3,295,0,0,0,6,438
8047943,0,0,124,0,0,170,1,0,0,9,304
8048122,0,2,136,2,1,249,0,1,0,9,400
8048150,0,3,51,1,0,121,0,0,1,7,184
8048252,0,0,71,1,0,104,1,0,0,11,188
8048305,1,0,94,0,0,173,0,0,2,3,273
8048320,0,1,71,1,3,130,0,1,0,1,208
8048396,0,1,96,0,0,247,0,0,0,7,351
8048447,0,3,80,0,1,142,1,0,0,4,231
8048475,3,3,60,0,0,116,0,0,1,2,185
8048524,0,0,63,1,0,86,0,0,0,5,155
8048579,1,0,82,0,0,132,0,0,1,3,219
8048613,0,0,92,0,1,120,0,0,0,1,214
8048637,2,0,63,0,0,117,0,0,0,1,183
8048703,0,1,45,0,0,71,0,0,0,2,119
8048728,0,0,67,0,0,151,0,0,0,4,222
8048767,1,0,20,0,0,21,0,0,0,2,44
8048917,0,3,88,1,1,154,2,0,0,2,251
8048949,0,0,43,0,0,77,0,0,0,4,124
8048995,0,2,81,1,2,111,1,0,0,3,201
8049006,0,1,115,0,0,153,0,0,0,10,279
8049085,0,0,16,0,0,50,0,0,0,0,66
8049162,0,2,67,0,0,112,0,0,0,2,183
8049208,0,3,96,0,0,180,0,0,0,4,283
8049263,0,2,124,1,0,195,0,0,1,9,332
8049316,0,1,50,0,0,49,0,0,0,0,100
8049327,1,0,60,2,0,149,1,0,2,3,218
8049373,0,1,65,1,1,175,1,0,1,10,255
8049401,0,2,89,0,1,126,1,0,1,7,227
8049457,0,3,67,1,2,132,0,0,0,2,207
8049472,1,1,72,0,2,114,0,0,0,8,198
